season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2019,3,shanghai,2019-04-14,http://en.wikipedia.org/wiki/2019_Chinese_Grand_Prix,hulkenberg,1987-08-19,German,renault,8,20,6.0,0.0,9.0,6.0,0.0,7.0,1:32.962
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,1,1,62.0,1.0,2.0,130.0,3.0,1.0,1:40.495
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,hamilton,1985-01-07,British,mercedes,2,2,68.0,2.0,1.0,130.0,3.0,1.0,1:40.554
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,vettel,1987-07-03,German,ferrari,3,3,37.0,0.0,4.0,73.0,0.0,2.0,1:40.797
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,4,4,39.0,0.0,3.0,52.0,0.0,3.0,1:41.069
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,8,5,36.0,0.0,5.0,73.0,0.0,2.0,
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,perez,1990-01-26,Mexican,racing_point,5,6,5.0,0.0,12.0,7.0,0.0,8.0,1:41.593
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,9,7,0.0,0.0,18.0,8.0,0.0,7.0,1:42.398
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,norris,1999-11-13,British,mclaren,7,8,8.0,0.0,8.0,8.0,0.0,7.0,1:41.886
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,13,9,2.0,0.0,14.0,7.0,0.0,8.0,1:42.630
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,albon,1996-03-23,Thai,toro_rosso,11,11,3.0,0.0,13.0,4.0,0.0,9.0,1:42.494
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,17,12,0.0,0.0,16.0,12.0,0.0,5.0,1:42.424
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,12,13,8.0,0.0,9.0,8.0,0.0,6.0,1:42.699
2019,4,baku,2019-04-28,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix,hulkenberg,1987-08-19,German,renault,15,14,6.0,0.0,10.0,12.0,0.0,4.0,1:43.427
